,Open,High,Low,Close,Volume,Market Cap,Open,High,Low,Close,Volume,Market Cap,Open,High,Low,Close,Volume,Market Cap,Open,High,Low,Close,Volume,Market Cap,Open,High,Low,Close,Volume,Market Cap,Open,High,Low,Close,Volume,Market Cap,Coin
0,0.002039,0.002977,0.001787,0.002977,84067,743804,0.001476,0.001904,0.00142,0.001556,14971,546728,0.000434,0.000463,0.000388,0.000412,1223,162099,0.000312,0.000331,0.000272,0.000298,505,125052,0.000467,0.000557,0.000461,0.000535,1123,198038,0.007374,0.007991,0.007241,0.007709000000000001,49088,3161750,SYS
0,1.78,1.81,1.71,1.72,121304,-,2.85,3.79,2.77,3.65,361861,8344340,27.45,30.24,25.55,29.03,2116770,233646000,31.39,37.99,31.35,32.71,28793100,286853000,,,,,,,,,,,,,GAS
0,0.091138,0.091138,0.08768,0.08797100000000001,8672250,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MITH
0,0.01741,0.01741,0.00784,0.013975,8783,-,0.010639,0.011411,0.010569,0.01098,431993,40850100,0.019713,0.021533,0.019683,0.020814,271784,75688800,0.061935,0.061935,0.048267,0.057589999999999995,8618970,263217000,,,,,,,,,,,,,FUN
0,0.068651,0.074107,0.052369,0.052369000000000006,61497,-,0.940835,1.28,0.933667,1.2,2583040,66579500,0.577619,0.61328,0.563877,0.582572,380184,41379400,8.16,8.19,6.89,7.28,5569960,615384000,,,,,,,,,,,,,ETHOS
0,44.01,44.35,40.87,40.87,33745700,-,78.66,80.55,76.55,77.02,46128200,-,,,,,,,,,,,,,,,,,,,,,,,,,ELA
0,5.89,6.45,5.41,5.79,19932900,-,2.56,2.64,2.02,2.1,7587630,-,2.2,2.65,2.17,2.58,50845,89076800,6.08,6.14,3.97,4.82,7041970,246299000,,,,,,,,,,,,,GXS
0,0.015092,0.016644,0.002872,0.013584,-,15091900,0.074847,0.080981,0.056402,0.060361,724329,74847200,0.052632,0.053605,0.04937,0.05086,256351,52631900,0.057157,0.061511,0.054356,0.060878999999999996,184506,57157100,0.018971,0.020256,0.018847,0.020046,90432,18970600,0.005924,0.006083,0.005705,0.005817,35981,5924470,NXT
0,1.85,1.89,1.58,1.85,16343900,255074000,0.958708,1.16,0.928185,1.06,2674010,128594000,2.12,2.5,2.06,2.25,11332800,284090000,1.29,1.35,1.15,1.35,6839930,172790000,,,,,,,,,,,,,KNC
0,4.58,4.59,4.2,4.34,995797,-,,,,,,,,,,,,,8.74,10.23,8.66,9.65,14044500,310420000,,,,,,,,,,,,,NAS
0,0.041699,0.043584,0.037269,0.040968,168389000,-,0.031039,0.034649,0.030614,0.033507,21367400,123657000,,,,,,,,,,,,,,,,,,,,,,,,,NCASH
0,3.5e-05,3.5e-05,1.8e-05,2e-05,7925,270516,4.9e-05,5.3e-05,2.2e-05,4.5e-05,9646,697630,3.6e-05,4.8e-05,3.2e-05,3.9e-05,32296,820234,8.3e-05,8.3e-05,5.9e-05,7.099999999999999e-05,137028,2242040,2.1e-05,2.5e-05,2e-05,2.2e-05,1822,564560,2.2e-05,2.3e-05,1.9e-05,2.2e-05,3525,628511,RDD
0,19.22,25.72,19.14,23.33,8827,-,37.72,54.09,37.41,53.68,35261,3772010,52.49,66.33,52.49,58.04,19649,7214470,754.55,790.8,711.58,777.8,408562,192781000,699.34,706.23,386.35,529.28,2526000,451232000,,,,,,,GBYTE
0,0.094412,0.236234,0.059629,0.077363,2464330,-,0.053734,0.056482,0.050068,0.056482000000000004,1425360,-,0.078928,0.085009,0.075461,0.084263,3290500,474128000,,,,,,,,,,,,,,,,,,,ETN
0,0.087214,0.088396,0.077879,0.07787899999999999,107140,-,0.210259,0.227921,0.201753,0.224007,520054,38782400,1.11,1.76,1.05,1.6,7961140,204506000,,,,,,,,,,,,,,,,,,,R
0,6.91,8.48,3.52,4.34,4174650,53970200,2.85,3.07,2.78,2.97,3768150,133098000,16.04,16.85,13.18,16.36,130469000,862960000,2.53,2.83,2.51,2.65,8138380,141059000,,,,,,,,,,,,,SALT
0,0.014875,0.019128,0.01448,0.018727,21809,6731720,0.013537,0.014392,0.013509,0.014049,5516,6126340,0.02886,0.029022,0.028119,0.028214999999999997,8042,13060600,0.021855,0.021985,0.020643,0.020945,4914,9890670,0.023579,0.024493,0.022852,0.023708,8111,10670700,0.077451,0.086115,0.077451,0.08010700000000001,562026,35050500,MAID
0,4.6,5.01,3.93,4.61,11963300,-,1.24,1.32,1.14,1.16,2496310,612530000,0.160675,0.181897,0.157144,0.165079,6185730,79205400,,,,,,,,,,,,,,,,,,,WAX
